p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.857482834812003e-6,0.8042435656926396,0.351,0.107,0.10870560836025782,16,ABCD4
4.915462011024893e-6,1.3801624577809197,0.378,0.129,0.11000312434472607,16,MRPS33
4.919476096449264e-6,1.3245904363489651,0.27,0.073,0.11009295556243809,16,TIMM17B
4.943011349230407e-6,1.2586361917876043,0.324,0.095,0.11061965098442728,16,SNRNP200
4.9504802122834326e-6,0.6525071920633483,0.324,0.094,0.11078679667069094,16,TRIP12
4.9982827365742664e-6,0.9765140702325035,0.541,0.219,0.11185656936179551,16,CHURC1
5.035145159090371e-6,0.6577829884136632,0.514,0.188,0.11268151351528341,16,CHID1
5.100955575181592e-6,1.3778208036542903,0.27,0.073,0.11415428481698886,16,SNX14
5.121707326751136e-6,0.9997127419197287,0.486,0.186,0.11461868826536367,16,ARF5
5.2964106835858416e-6,0.720853021524818,0.784,0.379,0.11852837468796755,16,SF3B6
5.306052723270621e-6,0.7321511417146767,0.541,0.214,0.11874415389407322,16,PPP2R1A
